label,train,val,test,total
wildebeest,186665,23351,23220,233236
zebra,109700,13823,13786,137309
gazelleThomsons,82916,10372,10352,103640
hartebeest,27374,3337,3485,34196
buffalo,24430,3029,3061,30520
elephant,18356,2284,2242,22882
guineaFowl,17108,2119,2113,21340
gazelleGrants,15807,2037,1997,19841
giraffe,15693,2017,1986,19696
warthog,15602,1871,1959,19432
impala,15454,1839,1903,19196
otherBird,9513,1215,1170,11898
hyenaSpotted,7955,997,982,9934
lionFemale,6755,862,866,8483
eland,5223,611,680,6514
topi,4181,526,550,5257
baboon,3315,400,400,4115
reedbuck,3279,394,426,4099
dikDik,2671,347,340,3358
cheetah,2537,291,302,3130
hippopotamus,2072,297,275,2644
lionMale,1712,225,220,2157
koriBustard,1504,185,166,1855
ostrich,1471,173,157,1801
secretaryBird,985,116,113,1214
jackal,951,118,124,1193
serval,745,104,102,951
hare,729,102,86,917
vervetMonkey,674,98,78,850
waterbuck,598,93,70,761
batEaredFox,597,62,85,744
mongoose,517,49,61,627
aardvark,434,60,45,539
porcupine,311,45,64,420
reptiles,316,32,48,396
leopard,283,35,39,357
bushbuck,270,28,21,319
aardwolf,226,38,34,298
hyenaStriped,231,34,27,292
caracal,139,26,17,182
rodents,118,17,17,152
wildcat,102,9,12,123
honeyBadger,64,15,15,94
rhinoceros,59,10,11,80
genet,62,9,5,76
civet,46,15,7,68
zorilla,26,5,3,34
