label,train,val,test,total
wildebeest,186665,23351,23220,233236
zebra,109700,13823,13786,137309
gazelleThomsons,82916,10372,10352,103640
hartebeest,27374,3337,3485,34196
buffalo,24430,3029,3061,30520
elephant,18356,2284,2242,22882
guineaFowl,17108,2119,2113,21340
gazelleGrants,15807,2037,1997,19841
giraffe,15693,2017,1986,19696
warthog,15602,1871,1959,19432
impala,15454,1839,1903,19196
otherBird,0,0,1170,11898
hyenaSpotted,0,0,982,9934
lionFemale,0,0,866,8483
eland,0,0,680,6514
topi,0,0,550,5257
baboon,0,0,400,4115
reedbuck,0,0,426,4099
dikDik,0,0,340,3358
cheetah,0,0,302,3130
hippopotamus,0,0,275,2644
lionMale,0,0,220,2157
koriBustard,0,0,166,1855
ostrich,0,0,157,1801
secretaryBird,0,0,113,1214
jackal,0,0,124,1193
serval,0,0,102,951
hare,0,0,86,917
vervetMonkey,0,0,78,850
waterbuck,0,0,70,761
batEaredFox,0,0,85,744
mongoose,0,0,61,627
aardvark,0,0,45,539
porcupine,0,0,64,420
reptiles,0,0,48,396
leopard,0,0,39,357
bushbuck,0,0,21,319
aardwolf,0,0,34,298
hyenaStriped,0,0,27,292
caracal,0,0,17,182
rodents,0,0,17,152
wildcat,0,0,12,123
honeyBadger,0,0,15,94
rhinoceros,0,0,11,80
genet,0,0,5,76
civet,0,0,7,68
zorilla,0,0,3,34
